date,infected,dead,recovered,inactive,active,new,new_deaths,new_3,new_7,new_14,new_deaths_7,new_deaths_14,new_deaths_7_7
2020-03-28,1638,18,1,19,1619,249.0,2.0,195.66666666666663,157.42857142857142,109.57142857142857,1.8571428571428568,1.0714285714285714,1.1428571428571428
2020-03-29,1862,22,1,23,1839,224.0,4.0,213.66666666666663,175.4285714285714,124.07142857142857,2.142857142857143,1.3571428571428572,1.3673469387755102
2020-03-30,2055,31,1,32,2023,193.0,9.0,222.0,186.57142857142856,134.14285714285714,3.2857142857142856,1.9285714285714288,1.7551020408163267
2020-03-31,2311,33,1,34,2277,256.0,2.0,224.33333333333331,201.42857142857144,148.07142857142858,3.2857142857142856,2.0,2.122448979591837
2020-04-01,2554,43,1,44,2510,243.0,10.0,230.66666666666663,214.7142857142857,161.92857142857142,4.285714285714286,2.7142857142857144,2.5714285714285716
2020-04-02,2946,57,1,58,2888,392.0,14.0,297.0,246.42857142857144,185.07142857142856,5.857142857142858,3.7142857142857135,3.1836734693877555
2020-04-03,3383,71,1,72,3311,437.0,14.0,357.33333333333326,284.85714285714283,211.28571428571428,7.857142857142858,4.714285714285714,4.081632653061225
2020-04-04,3627,79,116,195,3432,244.0,8.0,357.66666666666674,284.14285714285717,220.78571428571428,8.714285714285714,5.285714285714286,5.061224489795919
2020-04-05,4102,94,134,228,3874,475.0,15.0,385.33333333333326,320.0,247.7142857142857,10.285714285714286,6.2142857142857135,6.224489795918367
2020-04-06,4413,107,162,269,4144,311.0,13.0,343.3333333333333,336.85714285714283,261.7142857142857,10.857142857142858,7.071428571428571,7.306122448979592
2020-04-07,4848,129,191,320,4528,435.0,22.0,407.0,362.4285714285714,281.92857142857144,13.714285714285715,8.5,8.795918367346939
2020-04-08,5205,158,222,380,4825,357.0,29.0,367.66666666666674,378.71428571428567,296.7142857142857,16.428571428571427,10.357142857142858,10.530612244897958
2020-04-09,5575,174,284,458,5117,370.0,16.0,387.33333333333326,375.57142857142856,311.0,16.714285714285715,11.285714285714285,12.081632653061224
